codigo,titulo,fecha_estreno,origen_pelicula,entradas,recaudacion
61260038,LAS PRESENCIAS,2026-04-23,Nacionales,25,62500.00
61260040,"JOTA URONDO, UN COCINERO IMPERTINENTE",2026-05-08,Nacionales,377,1514327.28
61260042,HASTA QUE LA VERDAD LOS SEPARE,2026-04-30,Nacionales,1706,13054035.12
61260043,LA FUERZA INVISIBLE: SIERRA LEONA,2026-05-30,Nacionales,192,1010036.38
61260046,NICO,2026-05-19,Nacionales,423,1742940.90
61260047,LO QUE TRAJO LA TORMENTA,2026-05-14,Nacionales,347,1759500.00
61260048,NUESTROS DÍAS EN MI MEMORIA,2026-05-14,Nacionales,796,5212213.66
61260049,VIEJOS MALDITOS,2026-05-21,Nacionales,103,427054.58
61260050,EL REMANSO,2026-05-22,Nacionales,59,215272.74
61260051,FIESTA PUEBLO,2026-05-20,Nacionales,43,258745.46
61260052,UNA MALA PRAXIS,2026-07-02,Nacionales,39,142000.00
61260053,HOMBRE DE LA ATLÁNTIDA,2026-05-31,Nacionales,142,658500.00
61260054,LA ESPERA,2026-05-28,Nacionales,404,2150345.46
61260055,LA HUIDA,2026-06-18,Nacionales,288,753454.56
61260058,CUARTO OSCURO,2026-07-02,Nacionales,85,445281.80
61260059,SOMOS Y SEREMOS MAR,2026-06-04,Nacionales,98,459927.28
61260062,EXTRACTO DE ADIÓS,2026-06-13,Nacionales,104,482036.38
61260063,HOT LINE,2026-06-18,Nacionales,518,2037663.72
61260064,LOS DÍAS POSIBLES - TRILOGÍA SOBRE LA TERNURA,2026-06-25,Nacionales,409,2186600.00
61260065,LOS BOBOS,2026-06-05,Nacionales,583,4373400.00
61260066,LUMBRE,2026-06-18,Nacionales,429,1628736.48
61260067,NO MORIRÉ SOLA,2026-07-03,Nacionales,29,164209.08
64250299,FAMILIA DE ALQUILER,2026-01-08,Extranjeras,29998,230233320.64
64250300,LA EMPLEADA,2026-01-25,Extranjeras,270448,2006353603.57
64250301,NOUVELLE VAGUE,2026-01-01,Extranjeras,10922,74804109.10
64250303,LA NOCHE DEL ESPANTAPÁJAROS,2026-01-01,Extranjeras,3055,22113236.01
64260000,EL BESO DE LA MUJER ARAÑA,2026-01-08,Extranjeras,2147,15485363.46
64260002,PRIMATE,2026-01-01,Extranjeras,34490,256394012.20
64260003,PAPRIKA,2026-01-08,Extranjeras,4858,35311889.99
64260004,EL ARQUERO INOCENTE,2026-03-19,Extranjeras,198,643076.71
64260005,MOON MI AMIGO EL PANDA,2026-01-15,Extranjeras,1959,12980256.21
64260006,SIN ALIENTO,2026-01-15,Extranjeras,4284,25353021.66
64260007,LA ÚNICA OPCIÓN,2026-01-15,Extranjeras,17018,126629241.73
64260008,MARTY SUPREMO,2026-01-15,Extranjeras,185583,1392650698.26
64260010,ALERTA EXTINCIÓN,2026-01-29,Extranjeras,15377,107300499.46
64260011,EXTERMINIO: EL TEMPLO DE LOS HUESOS,2026-01-15,Extranjeras,58443,432735831.15
64260012,"OVNIS, MONSTRUOS Y UTOPÍAS- TRES HISTORIAS QUEER",2026-01-15,Extranjeras,101,351018.16
64260013,O OURO E O MUNDO,2026-01-22,Extranjeras,98,361254.53
64260015,"HAGAS LO QUE HAGAS, ESTÁ MAL",2026-01-22,Extranjeras,3438,19563666.64
64260016,TERROR EN SILENT HILL: REGRESO AL INFIERNO,2026-01-22,Extranjeras,81707,578378470.12
64260017,SIN PIEDAD,2026-01-22,Extranjeras,20313,152160067.56
64260018,AYUDA !¡,2026-01-29,Extranjeras,144225,1014329649.80
64260019,LOS MÚSICOS,2026-01-29,Extranjeras,3120,17823178.20
64260020,COMUNIÓN DE SANGRE,2026-01-29,Extranjeras,342,2286780.26
64260021,CORAZONES JOVENES,2026-01-29,Extranjeras,1328,5174363.61
64260022,SIRAT,2026-01-29,Extranjeras,4438,32304298.76
64260023,EL GRAN PREMIO A TODA VELOCIDAD,2026-01-22,Extranjeras,11218,77211672.06
64260024,MELANIA,2026-01-29,Extranjeras,1381,9273227.18
